iterations,rep,rep_instance,fitness,kry_3,kry_4,kry_5
400,7,9,21287.88,9180,292788,9180
400,8,0,18874.5,8107,266050,8107
400,8,1,19781.38,8626,252938,8626
400,8,2,20053.190000000002,8691,267119,8691
400,8,3,19196.28,8325,254628,8325
400,8,4,20486.68,8952,258268,8952
400,8,5,20071.08,8660,275108,8660
400,8,6,22154.5,9773,260850,9773
400,8,7,19424.2,8420,258420,8420
400,8,8,20157.48,8791,257548,8791
400,8,9,19296.45,8332,263245,8332
400,9,0,21906.9,9469,296890,9469
400,9,1,22559.21,9813,293321,9813
400,9,2,23245.11,10124,299711,10124
400,9,3,21262.489999999998,9227,280849,9227
400,9,4,21723.53,9402,291953,9402
400,9,5,22806.08,9921,296408,9921
400,9,6,21666.75,9376,291475,9376
400,9,7,22023.55,9490,304355,9490
400,9,8,22111.510000000002,9533,304551,9533
400,9,9,22179.55,9557,306555,9557
800,0,0,19590.73,8400,279073,8400
800,0,1,19655.35,8469,271735,8469
800,0,2,20640.25,8930,278025,8930
800,0,3,20134.64,8597,294064,8597
800,0,4,19761.5,8596,256950,8596
800,0,5,20476.64,8870,273664,8870
800,0,6,20243.98,8801,264198,8801
800,0,7,19772.82,8548,267682,8548
800,0,8,19774.42,8478,281842,8478
800,0,9,19324.03,8388,254803,8388
800,1,0,20652.03,8947,275803,8947
800,1,1,21068.3,9102,286430,9102
800,1,2,21569.87,9318,293387,9318
800,1,3,21688.79,9399,289079,9399
800,1,4,21291.37,9263,276537,9263
800,1,5,21305.5,9181,294350,9181
800,1,6,20421.5,8688,304550,8688
800,1,7,21430.239999999998,9187,305624,9187
800,1,8,19847.05,8476,289505,8476
800,1,9,22938.809999999998,9989,296081,9989
800,2,0,19848.75,8622,260475,8622
800,2,1,20350.45,8773,280445,8773
800,2,2,20836.05,9042,275205,9042
800,2,3,19681.93,8490,270193,8490
800,2,4,19734.02,8556,262202,8556
800,2,5,21131.78,9160,281178,9160
800,2,6,20145.309999999998,8583,297931,8583
800,2,7,20839.54,9032,277554,9032
